Slide,X,Y
absence,202688.88,441773.2308
absence,202738.88,441773.2308
absence,202788.88,441773.2308
absence,202838.88,441773.2308
absence,200938.88,441723.2308
absence,200988.88,441723.2308
absence,201038.88,441723.2308
absence,201138.88,441723.2308
absence,201188.88,441723.2308
absence,201238.88,441723.2308
absence,201288.88,441723.2308
absence,201338.88,441723.2308
absence,201388.88,441723.2308
absence,201438.88,441723.2308
absence,201488.88,441723.2308
absence,201538.88,441723.2308
absence,201588.88,441723.2308
absence,201638.88,441723.2308
absence,201688.88,441723.2308
absence,201738.88,441723.2308
absence,201788.88,441723.2308
absence,201838.88,441723.2308
absence,201888.88,441723.2308
absence,201988.88,441723.2308
absence,202238.88,441723.2308
absence,202288.88,441723.2308
absence,202738.88,441723.2308
absence,202788.88,441723.2308
absence,202838.88,441723.2308
absence,202888.88,441723.2308
absence,202938.88,441723.2308
absence,202988.88,441723.2308
absence,200538.88,441673.2308
absence,200588.88,441673.2308
absence,200888.88,441673.2308
absence,200938.88,441673.2308
absence,200988.88,441673.2308
absence,201038.88,441673.2308
absence,201088.88,441673.2308
absence,201138.88,441673.2308
absence,201188.88,441673.2308
absence,201238.88,441673.2308
absence,201288.88,441673.2308
absence,201338.88,441673.2308
absence,201388.88,441673.2308
absence,201438.88,441673.2308
absence,201488.88,441673.2308
absence,201538.88,441673.2308
absence,201588.88,441673.2308
absence,201638.88,441673.2308
absence,201688.88,441673.2308
absence,201738.88,441673.2308
absence,201788.88,441673.2308
absence,201838.88,441673.2308
absence,201888.88,441673.2308
absence,201938.88,441673.2308
absence,201988.88,441673.2308
absence,202088.88,441673.2308
absence,202188.88,441673.2308
absence,202238.88,441673.2308
absence,202288.88,441673.2308
absence,202838.88,441673.2308
absence,202888.88,441673.2308
absence,202938.88,441673.2308
absence,202988.88,441673.2308
absence,200438.88,441623.2308
absence,200488.88,441623.2308
absence,200538.88,441623.2308
absence,200588.88,441623.2308
absence,200638.88,441623.2308
absence,200688.88,441623.2308
absence,200738.88,441623.2308
absence,200788.88,441623.2308
absence,200838.88,441623.2308
absence,200888.88,441623.2308
absence,200938.88,441623.2308
absence,200988.88,441623.2308
absence,201038.88,441623.2308
absence,201088.88,441623.2308
absence,201138.88,441623.2308
absence,201188.88,441623.2308
absence,201238.88,441623.2308
absence,201288.88,441623.2308
absence,201338.88,441623.2308
absence,201388.88,441623.2308
absence,201438.88,441623.2308
absence,201488.88,441623.2308
absence,201538.88,441623.2308
absence,201588.88,441623.2308
absence,201638.88,441623.2308
absence,201688.88,441623.2308
absence,201738.88,441623.2308
absence,201888.88,441623.2308
absence,202038.88,441623.2308
absence,202238.88,441623.2308
absence,202288.88,441623.2308
absence,202338.88,441623.2308
absence,202738.88,441623.2308
absence,202788.88,441623.2308
absence,202838.88,441623.2308
absence,202888.88,441623.2308
absence,202938.88,441623.2308
absence,202988.88,441623.2308
