Slide,X,Y
absence,200388.88,441573.2308
absence,200438.88,441573.2308
absence,200488.88,441573.2308
absence,200538.88,441573.2308
absence,200588.88,441573.2308
absence,200638.88,441573.2308
absence,200688.88,441573.2308
absence,200738.88,441573.2308
absence,200788.88,441573.2308
absence,200838.88,441573.2308
absence,200888.88,441573.2308
absence,200938.88,441573.2308
absence,200988.88,441573.2308
absence,201038.88,441573.2308
absence,201088.88,441573.2308
absence,201138.88,441573.2308
absence,201188.88,441573.2308
absence,201238.88,441573.2308
absence,201288.88,441573.2308
absence,201338.88,441573.2308
absence,201388.88,441573.2308
absence,201438.88,441573.2308
absence,201488.88,441573.2308
absence,201538.88,441573.2308
absence,201588.88,441573.2308
absence,201638.88,441573.2308
absence,201688.88,441573.2308
absence,201738.88,441573.2308
absence,202038.88,441573.2308
absence,202188.88,441573.2308
absence,202238.88,441573.2308
absence,202288.88,441573.2308
absence,202688.88,441573.2308
absence,202738.88,441573.2308
absence,202788.88,441573.2308
absence,202838.88,441573.2308
absence,202888.88,441573.2308
absence,202938.88,441573.2308
absence,200288.88,441523.2308
absence,200388.88,441523.2308
absence,200438.88,441523.2308
absence,200488.88,441523.2308
absence,200538.88,441523.2308
absence,200588.88,441523.2308
absence,200638.88,441523.2308
absence,200688.88,441523.2308
absence,200738.88,441523.2308
absence,200788.88,441523.2308
absence,200838.88,441523.2308
absence,200888.88,441523.2308
absence,200938.88,441523.2308
absence,200988.88,441523.2308
absence,201038.88,441523.2308
absence,201088.88,441523.2308
absence,201138.88,441523.2308
absence,201188.88,441523.2308
absence,201238.88,441523.2308
absence,201288.88,441523.2308
absence,201338.88,441523.2308
absence,201388.88,441523.2308
absence,201438.88,441523.2308
absence,201488.88,441523.2308
absence,201538.88,441523.2308
absence,201588.88,441523.2308
absence,201638.88,441523.2308
absence,201688.88,441523.2308
absence,201738.88,441523.2308
absence,201788.88,441523.2308
absence,201838.88,441523.2308
absence,201938.88,441523.2308
absence,201988.88,441523.2308
absence,202038.88,441523.2308
absence,202088.88,441523.2308
absence,202288.88,441523.2308
absence,202338.88,441523.2308
absence,202688.88,441523.2308
absence,202738.88,441523.2308
absence,202788.88,441523.2308
absence,202838.88,441523.2308
absence,202888.88,441523.2308
absence,202938.88,441523.2308
absence,202988.88,441523.2308
absence,198588.88,441473.2308
absence,198638.88,441473.2308
absence,198688.88,441473.2308
absence,198738.88,441473.2308
absence,200188.88,441473.2308
absence,200238.88,441473.2308
absence,200288.88,441473.2308
absence,200338.88,441473.2308
absence,200388.88,441473.2308
absence,200438.88,441473.2308
absence,200488.88,441473.2308
absence,200738.88,441473.2308
absence,200788.88,441473.2308
absence,200838.88,441473.2308
absence,200888.88,441473.2308
absence,200938.88,441473.2308
absence,200988.88,441473.2308
absence,201038.88,441473.2308
absence,201088.88,441473.2308
absence,201138.88,441473.2308
absence,201188.88,441473.2308
absence,201288.88,441473.2308
absence,201438.88,441473.2308
absence,201488.88,441473.2308
absence,201538.88,441473.2308
absence,201588.88,441473.2308
absence,201638.88,441473.2308
absence,201688.88,441473.2308
absence,201738.88,441473.2308
absence,201838.88,441473.2308
absence,201888.88,441473.2308
absence,201938.88,441473.2308
absence,201988.88,441473.2308
absence,202038.88,441473.2308
absence,202088.88,441473.2308
absence,202138.88,441473.2308
absence,202188.88,441473.2308
absence,202288.88,441473.2308
absence,202338.88,441473.2308
absence,202738.88,441473.2308
absence,202788.88,441473.2308
absence,202888.88,441473.2308
absence,202938.88,441473.2308
absence,198588.88,441423.2308
absence,198638.88,441423.2308
absence,198688.88,441423.2308
absence,198738.88,441423.2308
absence,198788.88,441423.2308
absence,200138.88,441423.2308
absence,200188.88,441423.2308
absence,200238.88,441423.2308
absence,200288.88,441423.2308
absence,200338.88,441423.2308
absence,200388.88,441423.2308
absence,200438.88,441423.2308
absence,200488.88,441423.2308
absence,200638.88,441423.2308
absence,200688.88,441423.2308
absence,200738.88,441423.2308
absence,200788.88,441423.2308
absence,200838.88,441423.2308
absence,200888.88,441423.2308
absence,200938.88,441423.2308
absence,200988.88,441423.2308
absence,201038.88,441423.2308
absence,201088.88,441423.2308
absence,201288.88,441423.2308
absence,201338.88,441423.2308
absence,201388.88,441423.2308
absence,201438.88,441423.2308
absence,201488.88,441423.2308
absence,201538.88,441423.2308
absence,201588.88,441423.2308
absence,201638.88,441423.2308
absence,201688.88,441423.2308
absence,201738.88,441423.2308
absence,201788.88,441423.2308
absence,201838.88,441423.2308
absence,201888.88,441423.2308
absence,202038.88,441423.2308
absence,202088.88,441423.2308
absence,202138.88,441423.2308
absence,202238.88,441423.2308
absence,202288.88,441423.2308
absence,202338.88,441423.2308
absence,202938.88,441423.2308
absence,202988.88,441423.2308
absence,203038.88,441423.2308
absence,198588.88,441373.2308
absence,198638.88,441373.2308
absence,198688.88,441373.2308
absence,198738.88,441373.2308
absence,198788.88,441373.2308
absence,198838.88,441373.2308
absence,200038.88,441373.2308
absence,200088.88,441373.2308
absence,200138.88,441373.2308
absence,200188.88,441373.2308
absence,200238.88,441373.2308
absence,200288.88,441373.2308
absence,200338.88,441373.2308
absence,200388.88,441373.2308
absence,200438.88,441373.2308
absence,200488.88,441373.2308
absence,200538.88,441373.2308
absence,200588.88,441373.2308
absence,200688.88,441373.2308
absence,200738.88,441373.2308
absence,200788.88,441373.2308
absence,200838.88,441373.2308
absence,200888.88,441373.2308
absence,200938.88,441373.2308
absence,201288.88,441373.2308
absence,201338.88,441373.2308
absence,201388.88,441373.2308
absence,201438.88,441373.2308
absence,201488.88,441373.2308
absence,201538.88,441373.2308
absence,201588.88,441373.2308
absence,201688.88,441373.2308
absence,201738.88,441373.2308
absence,201788.88,441373.2308
absence,201838.88,441373.2308
absence,201888.88,441373.2308
absence,201938.88,441373.2308
absence,201988.88,441373.2308
absence,202038.88,441373.2308
absence,202088.88,441373.2308
absence,202238.88,441373.2308
absence,202288.88,441373.2308
absence,202338.88,441373.2308
absence,202388.88,441373.2308
absence,202438.88,441373.2308
absence,202488.88,441373.2308
absence,202938.88,441373.2308
absence,202988.88,441373.2308
absence,198588.88,441323.2308
absence,198638.88,441323.2308
absence,198738.88,441323.2308
absence,198788.88,441323.2308
absence,198838.88,441323.2308
absence,198888.88,441323.2308
absence,198938.88,441323.2308
absence,198988.88,441323.2308
absence,199938.88,441323.2308
absence,199988.88,441323.2308
absence,200038.88,441323.2308
absence,200088.88,441323.2308
absence,200138.88,441323.2308
absence,200188.88,441323.2308
absence,200238.88,441323.2308
absence,200288.88,441323.2308
absence,200338.88,441323.2308
absence,200688.88,441323.2308
absence,200738.88,441323.2308
absence,200788.88,441323.2308
absence,200838.88,441323.2308
absence,200888.88,441323.2308
absence,200938.88,441323.2308
absence,201088.88,441323.2308
absence,201138.88,441323.2308
absence,201188.88,441323.2308
absence,201238.88,441323.2308
absence,201288.88,441323.2308
absence,201338.88,441323.2308
absence,201388.88,441323.2308
absence,201438.88,441323.2308
absence,201488.88,441323.2308
absence,201588.88,441323.2308
absence,201688.88,441323.2308
absence,201738.88,441323.2308
absence,201788.88,441323.2308
absence,201838.88,441323.2308
absence,201938.88,441323.2308
absence,201988.88,441323.2308
absence,202038.88,441323.2308
absence,202088.88,441323.2308
absence,202188.88,441323.2308
absence,202238.88,441323.2308
absence,202288.88,441323.2308
absence,202338.88,441323.2308
absence,202388.88,441323.2308
absence,202438.88,441323.2308
absence,202488.88,441323.2308
absence,202988.88,441323.2308
absence,198788.88,441273.2308
absence,198838.88,441273.2308
absence,198888.88,441273.2308
absence,198938.88,441273.2308
absence,198988.88,441273.2308
absence,199838.88,441273.2308
absence,199888.88,441273.2308
absence,199938.88,441273.2308
absence,199988.88,441273.2308
absence,200038.88,441273.2308
absence,200088.88,441273.2308
absence,200138.88,441273.2308
absence,200188.88,441273.2308
absence,200238.88,441273.2308
absence,200288.88,441273.2308
absence,200338.88,441273.2308
absence,200388.88,441273.2308
absence,200438.88,441273.2308
absence,200488.88,441273.2308
absence,200688.88,441273.2308
absence,200738.88,441273.2308
absence,200788.88,441273.2308
absence,200838.88,441273.2308
absence,200888.88,441273.2308
absence,200938.88,441273.2308
absence,200988.88,441273.2308
absence,201088.88,441273.2308
absence,201138.88,441273.2308
absence,201188.88,441273.2308
absence,201238.88,441273.2308
absence,201288.88,441273.2308
absence,201338.88,441273.2308
absence,201388.88,441273.2308
absence,201438.88,441273.2308
absence,201488.88,441273.2308
absence,201588.88,441273.2308
absence,201638.88,441273.2308
absence,201788.88,441273.2308
absence,202438.88,441273.2308
absence,202488.88,441273.2308
absence,202538.88,441273.2308
absence,198738.88,441223.2308
absence,198788.88,441223.2308
absence,198838.88,441223.2308
absence,198888.88,441223.2308
absence,199188.88,441223.2308
absence,199838.88,441223.2308
absence,199888.88,441223.2308
absence,199938.88,441223.2308
absence,199988.88,441223.2308
absence,200038.88,441223.2308
absence,200088.88,441223.2308
absence,200138.88,441223.2308
absence,200288.88,441223.2308
absence,200338.88,441223.2308
absence,200388.88,441223.2308
absence,200438.88,441223.2308
absence,200488.88,441223.2308
absence,200538.88,441223.2308
absence,200588.88,441223.2308
absence,200638.88,441223.2308
absence,200688.88,441223.2308
absence,200738.88,441223.2308
absence,200788.88,441223.2308
absence,200888.88,441223.2308
absence,200988.88,441223.2308
absence,201038.88,441223.2308
absence,201088.88,441223.2308
absence,201138.88,441223.2308
absence,201188.88,441223.2308
absence,201238.88,441223.2308
absence,201288.88,441223.2308
absence,201338.88,441223.2308
absence,201388.88,441223.2308
absence,201438.88,441223.2308
absence,201488.88,441223.2308
absence,201538.88,441223.2308
absence,201588.88,441223.2308
absence,201638.88,441223.2308
absence,201788.88,441223.2308
absence,198738.88,441173.2308
absence,198788.88,441173.2308
absence,198838.88,441173.2308
absence,198888.88,441173.2308
absence,198938.88,441173.2308
absence,199838.88,441173.2308
absence,199888.88,441173.2308
absence,199988.88,441173.2308
absence,200038.88,441173.2308
absence,200088.88,441173.2308
absence,200288.88,441173.2308
absence,200338.88,441173.2308
absence,200388.88,441173.2308
absence,200438.88,441173.2308
absence,200488.88,441173.2308
absence,200538.88,441173.2308
absence,200588.88,441173.2308
absence,200638.88,441173.2308
absence,200688.88,441173.2308
absence,200888.88,441173.2308
absence,200938.88,441173.2308
absence,201088.88,441173.2308
absence,201138.88,441173.2308
absence,201188.88,441173.2308
absence,201238.88,441173.2308
absence,201288.88,441173.2308
absence,201338.88,441173.2308
absence,201388.88,441173.2308
absence,201438.88,441173.2308
absence,201488.88,441173.2308
absence,201538.88,441173.2308
absence,201588.88,441173.2308
absence,201638.88,441173.2308
absence,201688.88,441173.2308
absence,201738.88,441173.2308
absence,201788.88,441173.2308
absence,201838.88,441173.2308
absence,198638.88,441123.2308
absence,198688.88,441123.2308
absence,198738.88,441123.2308
absence,198788.88,441123.2308
absence,198838.88,441123.2308
