Species,Long,Lat,aspect,depth,diameter,drain,elevation,ense,fage,fdens,ftype,geolo,relief,plcurv,prcurv,sdc,slope,spi,sti,stype,twi
slide,200633.98710000000,441096.13530000000,8,1,1,44.72140000000,249.87800000000,0.10000000000,1,1,3,3,19.04790000000,-0.10042800000,-0.98958800000,0,17.90550000000,0.49846600000,2.65858000000,0,2.22842000000
slide,200594.65730000000,441058.54880000000,9,1,1,60.00000000000,254.84000000000,0.06000000000,1,1,3,3,16.36590000000,-0.03244830000,-0.56371400000,0,17.61380000000,0.66908500000,3.06275000000,0,2.53362000000
slide,200453.60270000000,441320.65070000000,8,2,1,60.00000000000,165.45300000000,0.10000000000,1,1,3,3,25.77970000000,1.23732000000,-0.48112200000,3,24.12000000000,0.37000400000,2.91669000000,1,1.49669000000
slide,200393.07300000000,441318.47750000000,8,2,1,116.61900000000,138.86100000000,0.42000000000,1,1,3,3,32.37680000000,-0.99020600000,-0.13269300000,3,30.12660000000,1.82820000000,9.17589000000,1,2.84680000000
slide,200415.58130000000,440918.11280000000,8,1,1,142.12700000000,255.53200000000,0.05000000000,1,1,3,3,15.41250000000,-0.33241200000,-1.21455000000,0,17.56660000000,0.66769200000,3.05243000000,0,2.53648000000
slide,200264.86460000000,440743.35660000000,8,2,1,128.06300000000,233.59300000000,0.06000000000,1,1,3,3,19.14590000000,0.56195300000,-0.79051000000,3,21.29620000000,0.00000000000,0.00000000000,1,0.94210200000
slide,199479.03820000000,440953.18900000000,8,2,1,92.19540000000,88.59130000000,0.14000000000,1,1,3,3,18.27530000000,-0.60281000000,-0.32423800000,3,20.51330000000,0.55864300000,3.15152000000,1,2.08171000000
slide,201451.64860000000,441965.79200000000,8,3,1,121.65500000000,104.98100000000,0.16000000000,1,1,3,3,24.31540000000,-1.09249000000,-0.42976300000,3,24.87830000000,0.87178400000,4.70043000000,1,2.15476000000
slide,201370.97710000000,441471.77680000000,9,3,2,150.00000000000,188.06900000000,0.06000000000,2,1,2,3,23.50880000000,-0.49565400000,-0.19389700000,3,24.59080000000,0.86412300000,4.63434000000,1,2.16796000000
slide,200940.38160000000,441220.30560000000,9,3,1,158.11400000000,242.01100000000,0.18000000000,1,1,3,3,26.54990000000,-0.64949700000,0.55616100000,3,32.59380000000,1.26906000000,7.27257000000,1,2.05670000000
slide,200777.63960000000,441173.40400000000,8,1,1,80.62260000000,240.00100000000,0.05000000000,1,1,2,3,17.40600000000,-0.25110700000,-0.26271800000,0,16.90640000000,0.79560500000,3.26325000000,0,2.80034000000
slide,200792.71570000000,440804.76460000000,6,1,1,64.03120000000,243.39700000000,0.33000000000,1,1,3,2,37.03060000000,-1.10639000000,0.70783200000,0,34.33960000000,1.48520000000,8.44272000000,0,2.17278000000
slide,200851.50540000000,440767.53230000000,5,2,1,89.44270000000,245.29800000000,0.06000000000,3,1,3,2,24.42280000000,0.52134000000,-0.00373014000,3,27.34250000000,1.12113000000,5.91146000000,1,2.26900000000
slide,201352.67680000000,440354.61500000000,4,3,1,30.00000000000,100.13800000000,0.13000000000,1,1,3,3,22.83560000000,-0.63256400000,0.53599200000,2,22.63130000000,0.98118000000,4.69638000000,3,2.48435000000
slide,201320.19090000000,440249.73880000000,3,2,2,70.00000000000,103.24000000000,0.03000000000,2,1,2,3,16.92890000000,0.27366100000,-0.25146200000,3,21.84670000000,0.95692300000,4.49629000000,1,2.52344000000
slide,201822.23510000000,440851.66740000000,2,3,1,150.00000000000,98.96500000000,0.01000000000,1,1,3,3,14.00680000000,0.31271300000,-1.53913000000,3,16.06880000000,0.25312600000,1.75766000000,1,1.93778000000
slide,201654.53070000000,441032.22130000000,3,4,1,70.71070000000,115.11000000000,0.01000000000,1,2,3,2,20.04930000000,0.27250900000,-0.13268100000,2,27.05940000000,0.92920600000,5.20346000000,3,2.05801000000
slide,201810.88920000000,441577.45550000000,4,3,1,64.03120000000,112.46500000000,0.02000000000,1,1,3,3,18.00520000000,0.14410700000,0.13018400000,3,18.15870000000,0.50438700000,2.70592000000,1,2.21340000000
slide,201635.94250000000,441335.05410000000,4,3,1,94.33980000000,130.00700000000,0.01000000000,1,1,3,3,29.72130000000,1.56484000000,0.29680900000,3,29.63430000000,0.00000000000,0.00000000000,1,0.56410100000
slide,202198.64030000000,441411.20420000000,5,3,1,200.00000000000,80.91710000000,0.01000000000,1,1,3,3,23.68670000000,0.59497300000,0.43711300000,3,29.94180000000,1.19513000000,6.58607000000,1,2.16109000000
slide,199499.89840000000,440479.17010000000,7,4,1,70.71070000000,150.05000000000,0.08000000000,1,1,3,3,25.38760000000,-0.40607800000,-0.00347524000,2,27.17470000000,1.72639000000,8.11631000000,3,2.96934000000
slide,201948.46960000000,441740.14890000000,3,3,1,42.42640000000,97.51480000000,0.04000000000,1,1,3,3,18.23040000000,-0.76127800000,1.56180000000,2,17.43000000000,1.16243000000,4.24194000000,3,3.23795000000
slide,199435.32070000000,440550.39270000000,8,2,1,90.00000000000,131.15900000000,0.08000000000,1,2,3,3,24.56060000000,0.90091600000,-0.23447500000,3,26.98220000000,0.41153600000,3.34158000000,1,1.36819000000
slide,199514.78100000000,440408.34430000000,7,4,1,80.62260000000,146.11200000000,0.10000000000,1,1,3,3,24.36220000000,-1.08947000000,0.20931000000,2,25.68490000000,1.91270000000,8.50729000000,3,3.29696000000
slide,200396.52050000000,441056.47260000000,1,1,1,22.36070000000,201.16200000000,0.16000000000,1,1,3,3,20.08000000000,-1.65544000000,0.46148400000,0,23.09070000000,1.26922000000,5.66157000000,0,2.79842000000
